policy_id,start_date,end_date,coverage,agent_foreign_key,customer_foreign_key
143958,2010-08-22,2010-12-17,Life insurance,Karolina Piotrowska,74091677412
258025,2018-03-15,2018-06-06,Agricultural insurance,Irena Nowicka,46120470958
949683,2016-08-10,2017-04-16,Life insurance,Irena Szymanska,40121228190
298267,2020-08-19,2021-04-18,Home insurance,Jolanta Wisniewska,88080674423
929389,2014-10-02,2014-11-25,Business insurance,Jerzy Ostrowski,03242825372
836998,2011-04-05,2012-04-02,Health insurance,Kajetan Wrobel,47040562431
603215,2016-03-03,2016-10-29,Life insurance,Mariusz Kaminski,53060991294
629477,2019-02-18,2019-11-13,Health insurance,Adrian Wisniewski,80032892466
198429,2020-02-08,2021-01-18,Health insurance,Jozef Olszewski,91032087611
239154,2016-08-08,2017-07-27,Auto insurance,Emilia Walczak,60123147293
396050,2017-10-03,2017-11-13,Business insurance,Danuta Walczak,99042891291
296924,2012-04-21,2013-03-21,Travel insurance,Jaroslaw Dudek,50093068656
918777,2016-11-15,2017-11-09,Agricultural insurance,Jaroslaw Wisniewski,87070438904
568324,2011-02-19,2011-12-06,Agricultural insurance,Jaroslaw Dudek,59051399030
852985,2016-08-03,2017-01-11,Home insurance,Leon Wrobel,44070401659
958037,2019-05-20,2019-08-31,Travel insurance,Celina Wojciechowska,59111153068
216861,2020-05-14,2021-01-18,Business insurance,Kajetan Gorski,01301480731
883209,2020-10-22,2021-08-10,Agricultural insurance,Bartlomiej Kwiatkowski,69122104476
436693,2010-03-18,2010-06-30,Home insurance,Halina Ostrowska,60013094362
867935,2012-11-02,2012-12-07,Life insurance,Anna Olszewska,93091534275
515229,2015-02-19,2015-03-17,Agricultural insurance,Hubert Szymanski,60032226933
433608,2012-05-25,2013-02-24,Life insurance,Lidia Zalewska,02232284089
971883,2013-03-26,2013-10-29,Home insurance,Antoni Dudek,62030676673
894711,2012-04-16,2013-03-19,Home insurance,Mariusz Wisniewski,41122253800
359746,2017-01-23,2017-12-28,Travel insurance,Gabriel Sikora,49011982879
541565,2014-07-05,2015-05-31,Travel insurance,Marianna Wrobel,59090644807
618593,2014-05-03,2014-09-15,Health insurance,Dariusz Nowicki,51120199376
135342,2017-06-26,2018-03-17,Health insurance,Jolanta Nowakowska,67110858617
653829,2018-01-09,2018-06-04,Home insurance,Kazimiera Szewczyk,85041257297
699267,2014-02-18,2014-10-24,Travel insurance,Jolanta Olszewska,96022355714
917610,2020-12-13,2021-01-11,Health insurance,Marianna Wrobel,87081512237
667788,2018-08-15,2019-04-05,Travel insurance,Hanna Wieczorek,57030502950
591530,2017-04-19,2017-08-26,Life insurance,Jaroslaw Pietrzak,98091718456
562619,2013-09-01,2013-09-08,Home insurance,Adrian Wozniak,03231598498
137532,2014-04-18,2015-03-23,Health insurance,Grazyna Nowicka,45030100551
447474,2016-04-10,2017-02-26,Home insurance,Marta Mazur,73062075073
309858,2017-07-21,2018-02-13,Life insurance,Marta Mazur,43103172830
592010,2020-01-23,2020-04-11,Home insurance,Ignacy Nowakowski,04240246529
556189,2020-09-14,2021-09-01,Auto insurance,Magdalena Baran,86010812693
500247,2017-03-05,2017-12-27,Agricultural insurance,Karolina Wisniewska,91042872795
186075,2017-08-03,2018-07-01,Life insurance,Antoni Dudek,06232043028
275879,2014-10-19,2015-04-29,Agricultural insurance,Marek Witkowski,90032282408
541857,2015-11-12,2016-07-07,Business insurance,Lidia Dudek,83052066611
