policy_id,start_date,end_date,customer_foreign_key,agent_foreign_key,coverage
981681,2020-05-22,2021-01-28,44062748687,Hubert Jaworski,Agricultural insurance
281764,2015-08-28,2016-04-22,69012810821,Janina Walczak,Travel insurance
638831,2017-09-27,2018-09-05,80102285495,Gabriela Pietrzak,Home insurance
628658,2013-02-19,2013-06-19,92011644027,Czeslawa Jablonska,Business insurance
435872,2011-07-15,2012-01-23,78040789623,Lucyna Szymanska,Travel insurance
595055,2014-07-24,2015-02-06,97071364528,Czeslawa Jablonska,Auto insurance
240778,2017-08-04,2018-04-17,91030742295,Eryk Pawlowski,Agricultural insurance
435228,2012-10-21,2012-12-26,04292771897,Lidia Piotrowska,Home insurance
786634,2014-05-11,2014-11-24,40021690211,Andrzej Kaczmarek,Health insurance
432838,2014-09-28,2014-11-02,03221375074,Karolina Michalska,Life insurance
833554,2012-05-17,2013-03-27,76110642692,Bozena Wojciechowska,Home insurance
415650,2012-01-11,2012-08-15,80102285495,Jolanta Wojcik,Business insurance
760561,2010-03-04,2011-03-03,44091177779,Daniel Walczak,Life insurance
182995,2018-06-09,2018-12-22,61022497089,Jerzy Michalak,Life insurance
311936,2012-06-13,2012-12-09,68122631715,Beata Kaczmarek,Health insurance
770677,2016-07-01,2016-09-25,40021748983,Gabriela Pietrzak,Agricultural insurance
578055,2010-10-22,2011-05-31,77110891062,Marianna Nowicka,Travel insurance
682488,2012-11-24,2013-05-22,94021590064,Bozena Wojciechowska,Agricultural insurance
644710,2014-03-21,2014-11-04,55081630664,Cyprian Pawlak,Life insurance
315204,2017-04-10,2017-04-25,95051408761,Krzysztof Pawlak,Health insurance
661599,2017-11-12,2018-01-31,64062626062,Beata Kaczmarek,Home insurance
634934,2014-05-17,2014-09-23,42082818102,Gabriel Dudek,Health insurance
838089,2012-09-06,2013-06-04,75062161497,Cyprian Wojciechowski,Agricultural insurance
269374,2015-05-10,2015-12-15,66092185689,Czeslawa Jablonska,Business insurance
746854,2019-01-07,2019-02-17,82060665533,Anna Wisniewska,Business insurance
209641,2012-10-12,2013-04-20,91082656229,Ireneusz Pawlak,Auto insurance
412114,2019-12-25,2020-02-13,06230926976,Marianna Kaczmarek,Business insurance
589075,2013-06-27,2013-08-30,82091462491,Bogumila Lewandowska,Business insurance
